Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
I’Hamon,I’Hamon,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Kingdom of Zahar, Gavi' Kingdom",,,,,5,Jubal'on,"3,368.75",Meridomus Kalleprii,"4,730.00",The Kingdom of Zahar,"4,410.00",Holy Council of Axhaea,"3,533.75",The Sinere Theocracy,"4,049.38",,,,,,,,,,,,,,,,,,,,,"20,091.88",1.25,"25,114.84",2,0,0,5
Kiciakinikan,Kiciakinikan,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Galdu Hegal,Galdu Hegal,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Krosen Dynasty,Krosen Dynasty,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Thys Alari,,Tuk Dynasty,Meadoia Dynasty,8,Meadoia Dynasty,"3,710.00",Tuk Dynasty,"3,047.50",Thys Alari,"4,300.00",Republic of Nymaró,"6,468.75",Hrvolan Qaris,"6,362.50",The Ruzgaristan Enclave,"5,442.50",The Safeguard,"4,730.00",,,,,,,,,,,,,,,,,"34,061.25",1.05,"35,764.31",0,1,2,7
Tuk Dynasty,Tuk Dynasty,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Audgunn,,Krosen Dynasty,Meadoia Dynasty,10,Meadoia Dynasty,"3,710.00",Krosen Dynasty,"3,047.50",Thys Alari,"4,300.00",Hrvolan Qaris,"6,362.50",Thaandom of Fangkar,"6,362.50",Audgunn,"5,726.25",The Ruzgaristan Enclave,"5,442.50",Amethyst Clan,"2,606.25",Khyxwuz,"4,462.50",The State of Iskura,"4,049.38",,,,,,,,,,,"46,069.38",0.95,"43,765.91",0,1,2,10
Chernkov,Chernkov,The Teutā Erwā,,,,,,,,March,1.00,72.39%,72.39%,33.70%,33.70%,0.00%,0.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Teutā People,Teutā Animism,,,,,,4,Sarmatai Confederation,"4,170.00",Drionn Galith,"4,730.00",The Teutā Erwā,"2,958.05",,,,,,,,,,,,,,,,,,,,,,,,,"11,858.05",1.00,"11,858.05",0,0,0,3
Sange Teren,Sange Teren,Extremely Radical Corta,,,,,,,,Standard,1.00,9.66%,9.66%,7.06%,2.60%,0.00%,0.00%,,,Both,75.00%,FALSE,TRUE,FALSE,FALSE,FALSE,Litovoi,Litov Faith,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
The Jokers,The Jokers,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,The House,Malekate of Opolexion,6,The House,"4,152.50",The Awakened,"4,462.50",Imperial Theocracy of Borbenska,"2,100.00",Pucanje,"4,637.50",Malekate of Opolexion,"2,650.00",Nāšā Qaḏmāyā,"3,870.00",,,,,,,,,,,,,,,,,,,"21,872.50",1.25,"27,340.63",0,0,2,6
Rokmar Camp,Rokmar Camp,The Second Temple,,,,,,,,Tributary,0.25,40.46%,40.46%,9.40%,9.40%,0.00%,21.67%,,,Cultural,-100.00%,TRUE,TRUE,FALSE,FALSE,FALSE,The Cursed Sons,Stevenism,,,,,,9,Tavir,"3,062.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,062.50",0.95,"2,909.38",0,0,0,1
Sadis Ultimuspes,Sadis Ultimuspes,Nixond,,,,,,,,March,1.00,7.40%,7.40%,1.20%,1.20%,0.00%,-5.00%,,,,125.00%,FALSE,FALSE,TRUE,FALSE,FALSE,Kranic,Amnesian,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
